year,oop_pct_current_health_exp,health_exp_pct_gdp,private_health_exp_pct,govt_health_exp_pct_gdp,total_population,gdp_per_capita_usd,poverty_headcount_pct,catastrophic_10pct,catastrophic_25pct,oop_above_40,oop_above_60,private_dominance,health_gdp_ratio,pop_millions,year_normalized
2000,57.3422699,2.48079324,64.39980316,0.86511308,154879127,642.338346499898,,,,1,0,73.59026465471183,3.862128508313172,154.879127,0.0
2001,55.79309845,2.33959723,63.43766403,0.8166225,159270907,609.939506905073,64.3,6.026666666666667,0.07666666666666666,1,0,76.74320990536792,3.835785686143658,159.270907,0.043478260869565216
2002,50.96485519,2.42219901,58.19470215,0.90022832,163222549,599.937345723927,,,,1,0,63.93418098659026,4.037419952707232,163.222549,0.08695652173913043
2003,60.46445465,2.10399199,68.71120453,0.5118525,167110248,672.44178669894,,,,1,1,131.66786501933018,3.1288834686027354,167.110248,0.13043478260869565
2004,60.75031281,2.03666282,69.41656494,0.54709041,171286000,771.902247348954,51.7,3.559090909090909,0.07333333333333333,1,1,124.60556436431924,2.638498368148014,171.286,0.17391304347826086
2005,65.86717224,2.37323904,73.6194458,0.51540869,175453212,827.619861189926,50.4,,,1,1,140.1184396093639,2.8675472294584994,175.453212,0.21739130434782608
2006,72.83744049,2.73132491,79.54355621,0.4643316,179682690,900.873564984808,,,,1,1,167.69609321833082,3.0318626455046,179.68269,0.2608695652173913
2007,71.69874573,2.62370729,78.46032715,0.45476291,184493231,998.090114197524,44.1,2.7781818181818183,0.03666666666666667,1,1,168.81796172160122,2.6287278600184223,184.493231,0.30434782608695654
2008,69.98925781,2.56806731,76.72231293,0.40099064,189499113,1067.04324565284,,,,1,1,186.67654555344618,2.4067134302778905,189.499113,0.34782608695652173
2009,67.87589264,2.49995875,73.5196991,0.51264632,194376534,963.788066395225,,,,1,1,140.6681656153247,2.5938884669431364,194.376534,0.391304347826087
2010,67.75833893,2.42967653,72.65258789,0.52930099,199239047,987.304571124485,36.8,3.22,0.32999999999999996,1,1,134.7162145762054,2.460918951517396,199.239047,0.43478260869565216
2011,65.34801483,2.23121333,70.92317963,0.45581207,203746065,1131.73513834324,36.3,3.9766666666666666,0.4566666666666666,1,1,152.2570671687404,1.9714977952052446,203.746065,0.4782608695652174
2012,61.15657806,2.22185278,67.09035492,0.61600071,207667125,1204.36475491585,,,,1,1,107.17296937251076,1.8448337772515127,207.667125,0.5217391304347826
2013,62.74438858,2.4164784,66.2882843,0.63381839,211073978,1225.4340119198,29.5,6.969230769230769,0.5866666666666667,1,1,102.96115384339986,1.9719367803528445,211.073978,0.5652173913043478
2014,65.50695038,2.48899078,67.43753815,0.60478491,214264647,1266.61340849959,,,,1,1,109.69289755338984,1.9650753444560631,214.264647,0.6086956521739131
2015,64.43975067,2.49493265,67.71486664,0.686643,217290883,1380.47020838317,24.3,5.393076923076923,0.4633333333333333,1,1,97.20167523394335,1.807306405345833,217.290883,0.6521739130434783
2016,62.12799454,2.57026362,66.44263458,0.70141035,220138869,1424.69161195897,,,,1,1,93.39565354931933,1.804084195081245,220.138869,0.6956521739130435
2017,57.8424263,2.7863009,61.76627731,0.91277653,223273967,1519.23459514248,,,,1,0,66.93524954519594,1.834016226926882,223.273967,0.7391304347826086
2018,56.24115753,2.82844949,59.97082901,0.93618691,226928892,1569.33814626355,21.9,6.791538461538462,0.99,1,0,63.38158811560815,1.802319975930158,226.928892,0.782608695652174
2019,56.08301163,2.84736943,59.55964279,0.94332874,230800899,1390.41690981745,,,,1,0,62.47545079780139,2.0478529927932447,230.800899,0.8260869565217391
2020,55.23900604,2.95273018,58.47628021,1.03975642,235001746,1278.39735206896,,,,1,0,55.70461784839572,2.309712371682637,235.001746,0.8695652173913043
2021,50.67523956,2.99015832,52.7812767,1.1115458,239477801,1455.31922370186,,,,1,0,47.061187068775965,2.054640845321899,239.477801,0.9130434782608695
2022,47.36522675,2.90354776,48.6831131,1.10770965,243700667,1538.3228133171,,,,1,0,43.55613562073119,1.8874762402691359,243.700667,0.9565217391304348
2023,52.93231964,2.51988316,54.61149597,0.90008724,247504495,1360.32417758419,,,,1,0,60.006880186563215,1.8524137124983544,247.504495,1.0
