year,oop_pct_current_health_exp,health_exp_pct_gdp,private_health_exp_pct,govt_health_exp_pct_gdp,total_population,gdp_per_capita_usd,poverty_headcount_pct
2024,,,,,251269164,1478.77277977996,
2023,52.93231964,2.51988316,54.61149597,0.90008724,247504495,1360.32417758419,
2022,47.36522675,2.90354776,48.6831131,1.10770965,243700667,1538.3228133171,
2021,50.67523956,2.99015832,52.7812767,1.1115458,239477801,1455.31922370186,
2020,55.23900604,2.95273018,58.47628021,1.03975642,235001746,1278.39735206896,
2019,56.08301163,2.84736943,59.55964279,0.94332874,230800899,1390.41690981745,
2018,56.24115753,2.82844949,59.97082901,0.93618691,226928892,1569.33814626355,21.9
2017,57.8424263,2.7863009,61.76627731,0.91277653,223273967,1519.23459514248,
2016,62.12799454,2.57026362,66.44263458,0.70141035,220138869,1424.69161195897,
2015,64.43975067,2.49493265,67.71486664,0.686643,217290883,1380.47020838317,24.3
2014,65.50695038,2.48899078,67.43753815,0.60478491,214264647,1266.61340849959,
2013,62.74438858,2.4164784,66.2882843,0.63381839,211073978,1225.4340119198,29.5
2012,61.15657806,2.22185278,67.09035492,0.61600071,207667125,1204.36475491585,
2011,65.34801483,2.23121333,70.92317963,0.45581207,203746065,1131.73513834324,36.3
2010,67.75833893,2.42967653,72.65258789,0.52930099,199239047,987.304571124485,36.8
2009,67.87589264,2.49995875,73.5196991,0.51264632,194376534,963.788066395225,
2008,69.98925781,2.56806731,76.72231293,0.40099064,189499113,1067.04324565284,
2007,71.69874573,2.62370729,78.46032715,0.45476291,184493231,998.090114197524,44.1
2006,72.83744049,2.73132491,79.54355621,0.4643316,179682690,900.873564984808,
2005,65.86717224,2.37323904,73.6194458,0.51540869,175453212,827.619861189926,50.4
2004,60.75031281,2.03666282,69.41656494,0.54709041,171286000,771.902247348954,51.7
2003,60.46445465,2.10399199,68.71120453,0.5118525,167110248,672.44178669894,
2002,50.96485519,2.42219901,58.19470215,0.90022832,163222549,599.937345723927,
2001,55.79309845,2.33959723,63.43766403,0.8166225,159270907,609.939506905073,64.3
2000,57.3422699,2.48079324,64.39980316,0.86511308,154879127,642.338346499898,
1999,,,,,150565377,418.249257055367,
1998,,,,,146522356,424.453697798497,
1997,,,,,142531804,438.030942680153,
1996,,,,,138557092,456.996961832943,
1995,,,,,134582253,450.550279346206,
