year,catastrophic_10pct,catastrophic_25pct
2001,3.56,0.09
2001,3.56,0.08
2001,3.56,0.06
2001,5.97,0.09
2001,5.97,0.08
2001,5.97,0.06
2001,5.72,0.09
2001,5.72,0.08
2001,5.72,0.06
2001,6.92,0.09
2001,6.92,0.08
2001,6.92,0.06
2001,7.01,0.09
2001,7.01,0.08
2001,7.01,0.06
2001,5.96,0.09
2001,5.96,0.08
2001,5.96,0.06
2001,6.16,0.09
2001,6.16,0.08
2001,6.16,0.06
2001,5.72,0.09
2001,5.72,0.08
2001,5.72,0.06
2001,5.63,0.09
2001,5.63,0.08
2001,5.63,0.06
2001,6.85,0.09
2001,6.85,0.08
2001,6.85,0.06
2001,6.4,0.09
2001,6.4,0.08
2001,6.4,0.06
2001,6.42,0.09
2001,6.42,0.08
2001,6.42,0.06
2004,4.67,0.06
2004,4.67,0.07
2004,4.67,0.09
2004,3.04,0.06
2004,3.04,0.07
2004,3.04,0.09
2004,4.31,0.06
2004,4.31,0.07
2004,4.31,0.09
2004,3.37,0.06
2004,3.37,0.07
2004,3.37,0.09
2004,3.38,0.06
2004,3.38,0.07
2004,3.38,0.09
2004,4.29,0.06
2004,4.29,0.07
2004,4.29,0.09
2004,2.95,0.06
2004,2.95,0.07
2004,2.95,0.09
2004,2.44,0.06
2004,2.44,0.07
2004,2.44,0.09
2004,3.72,0.06
2004,3.72,0.07
2004,3.72,0.09
2004,3.8,0.06
2004,3.8,0.07
2004,3.8,0.09
2004,3.18,0.06
2004,3.18,0.07
2004,3.18,0.09
2007,2.6,0.04
2007,2.6,0.04
2007,2.6,0.03
2007,2.76,0.04
2007,2.76,0.04
2007,2.76,0.03
2007,3.17,0.04
2007,3.17,0.04
2007,3.17,0.03
2007,3.27,0.04
2007,3.27,0.04
2007,3.27,0.03
2007,3.25,0.04
2007,3.25,0.04
2007,3.25,0.03
2007,2.39,0.04
2007,2.39,0.04
2007,2.39,0.03
2007,1.99,0.04
2007,1.99,0.04
2007,1.99,0.03
2007,1.39,0.04
2007,1.39,0.04
2007,1.39,0.03
2007,3.68,0.04
2007,3.68,0.04
2007,3.68,0.03
2007,2.71,0.04
2007,2.71,0.04
2007,2.71,0.03
2007,3.35,0.04
2007,3.35,0.04
2007,3.35,0.03
2010,3.46,0.49
2010,3.46,0.13
2010,3.46,0.37
2010,3.37,0.49
2010,3.37,0.13
2010,3.37,0.37
2010,3.04,0.49
2010,3.04,0.13
2010,3.04,0.37
2010,2.91,0.49
2010,2.91,0.13
2010,2.91,0.37
2010,3.02,0.49
2010,3.02,0.13
2010,3.02,0.37
2010,5.06,0.49
2010,5.06,0.13
2010,5.06,0.37
2010,2.93,0.49
2010,2.93,0.13
2010,2.93,0.37
2010,3.3,0.49
2010,3.3,0.13
2010,3.3,0.37
2010,3.61,0.49
2010,3.61,0.13
2010,3.61,0.37
2010,3.25,0.49
2010,3.25,0.13
2010,3.25,0.37
2010,2.8,0.49
2010,2.8,0.13
2010,2.8,0.37
2010,1.89,0.49
2010,1.89,0.13
2010,1.89,0.37
2011,3.66,0.58
2011,3.66,0.3
2011,3.66,0.49
2011,3.69,0.58
2011,3.69,0.3
2011,3.69,0.49
2011,4.1,0.58
2011,4.1,0.3
2011,4.1,0.49
2011,3.46,0.58
2011,3.46,0.3
2011,3.46,0.49
2011,4.37,0.58
2011,4.37,0.3
2011,4.37,0.49
2011,2.53,0.58
2011,2.53,0.3
2011,2.53,0.49
2011,4.13,0.58
2011,4.13,0.3
2011,4.13,0.49
2011,4.74,0.58
2011,4.74,0.3
2011,4.74,0.49
2011,4.52,0.58
2011,4.52,0.3
2011,4.52,0.49
2011,4.64,0.58
2011,4.64,0.3
2011,4.64,0.49
2011,4.12,0.58
2011,4.12,0.3
